gps_seconds[s]	panorama_file_name	latitude[deg]	longitude[deg]	altitude_ellipsoidal[m]	roll[deg]	pitch[deg]	heading[deg]
1142600949.45317	pano_0000_000000	52.3554160648035	4.94012197046403	38.9130643671378	-1.62862531303312	0.498527967534004	317.890287847751
1142600950.11822	pano_0000_000001	52.3553831309843	4.94017145459797	38.9101168811321	-1.51991779104205	0.479597563999571	317.651211348535
1142600950.78315	pano_0000_000002	52.3553505691893	4.9402216690619	38.914091495797	-1.51701507969006	0.507583382512437	316.680213299344
1142600951.45818	pano_0000_000003	52.3553182285083	4.94027234575618	38.9175222674385	-1.38203529524144	0.495398773770987	316.752715182309
1142600952.16311	pano_0000_000004	52.3552853208979	4.94032248312397	38.9173824517056	-1.33291130771802	0.741571651568329	317.692117525908
1142600952.90827	pano_0000_000005	52.3552518794307	4.94037198347256	38.9184293542057	-0.955059569714405	0.547998307426985	318.535261129703
1142600953.6931	pano_0000_000006	52.355218212121	4.94042062518481	38.9232163755223	-0.849555841575707	0.649610910882672	319.060333448187
1142600954.53818	pano_0000_000007	52.3551839479861	4.94046905701548	38.9303400730714	-0.995255895416541	0.473469548650591	319.568990772691
1142600955.44809	pano_0000_000008	52.3551494832482	4.94051694410988	38.9514569174498	-1.34992256535902	0.427736550986528	319.833561693079
1142600956.44808	pano_0000_000009	52.355115093647	4.94056521320845	38.9545011613518	-2.13672067800127	0.797249681656556	318.802024109683
1142600957.61305	pano_0000_000010	52.3550833070916	4.94061824392437	38.9650722071528	-2.3461102454654	0.270618745169925	311.096736223052
1142600958.96305	pano_0000_000011	52.355065814365	4.94068518869825	39.0145295402035	-0.509477488971398	0.00977280025392618	284.175972243662
1142600960.39304	pano_0000_000012	52.3550689031156	4.94075440287374	38.9922035392374	-2.570018201529	0.0712518715261866	258.847927613388
1142600961.99299	pano_0000_000013	52.3550882068821	4.94081691621187	39.018407552503	1.00189299992317	1.36169158419372	241.80128366194
1142600963.47299	pano_0000_000014	52.3551136661783	4.94087544307383	38.8849589079618	-0.872968501015251	5.11810621377551	232.570434462542
1142600964.87296	pano_0000_000015	52.3551434502914	4.9409297611348	38.8025895366445	-2.93373883287609	-0.21616381116352	226.950999311057
1142600966.058	pano_0000_000016	52.3551757751278	4.94098086084641	38.783284037374	-4.08950207010407	0.578305380333158	223.65564126703
1142600967.18798	pano_0000_000017	52.3552089719256	4.94102926593855	38.7869852501899	-2.38032535508993	0.354335927888465	223.325637991679
1142600968.27797	pano_0000_000018	52.3552413663089	4.94107792065238	38.7792520187795	-1.39834084615479	-0.111943469904067	223.848553924516
1142600969.34294	pano_0000_000019	52.3552735425735	4.94112630286404	38.7963918056339	-0.91925070618893	0.41394168760256	223.447002969014
1142600970.42796	pano_0000_000020	52.3553062253509	4.94117381412693	38.8027635170147	-0.734881457452707	0.852590016645579	221.873379067923
1142600971.5579	pano_0000_000021	52.3553388472193	4.94122090703726	38.7703768126667	1.20911605844409	0.833746441669628	223.418172976185
1142600972.79292	pano_0000_000022	52.3553703526149	4.94126942858521	38.7771313004196	1.75266510194408	0.660336166100983	224.599883357326
1142600974.1879	pano_0000_000023	52.3554013760819	4.94131868380828	38.8052852507681	0.360777443230807	0.110922215204713	224.001417809912
1142600975.6879	pano_0000_000024	52.3554367268289	4.94135737842967	38.8042971016839	0.286291500972167	0.762253436732455	208.145943148611
1142600977.02304	pano_0000_000025	52.3554786698706	4.94136349700394	38.7937443265691	1.08589977403385	-1.74233771009767	175.9513196326
1142600978.11784	pano_0000_000026	52.3555178972334	4.9413362920973	38.8093980932608	0.0154651073237144	0.227884906783411	149.529799444691
1142600979.12282	pano_0000_000027	52.3555508128868	4.94128689501034	38.7763767894357	-1.99962036401197	0.89048079945321	133.000520829763
1142600980.03801	pano_0000_000028	52.3555783101841	4.94122763169678	38.7153402008116	-2.94953262588367	0.60158206269657	125.265411434723
1142600980.8978	pano_0000_000029	52.3556037104893	4.94116525477319	38.6872632009909	-0.748058503231065	0.714442157092991	125.085095884464
1142600981.71272	pano_0000_000030	52.3556303482728	4.9411045088615	38.6749145593494	-2.05608076595413	0.0827061037623847	125.330954016849
1142600982.49271	pano_0000_000031	52.3556568538692	4.94104389506277	38.6647332198918	-3.29055013164144	1.16546967532582	125.262223095435
